station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Lancaster Gate,Liverpool Street,-309,-356,-400
Stratford,London Bridge,-308,-356,-817
Highbury & Islington,Green Park,-307,-351,-687
Stratford,North Greenwich,-306,67,-729
Turnham Green,Richmond,-306,-242,-334
Harrow & Wealdstone,Willesden Junction,-306,-300,-320
Upton Park,West Ham,-305,-229,-390
Westbourne Park,Hammersmith,-305,-255,-362
Canning Town,Westminster,-304,-428,-482
Seven Sisters,Edmonton Green,-304,-310,-344
Liverpool Street,St. James's Park,-303,-491,-537
Devons Road,Stratford,-301,-380,-626
Dalston Junction,Shadwell,-301,-371,-455
Northfields,Hammersmith,-300,-224,97
Notting Hill Gate,Liverpool Street,-299,-368,-408
Highbury & Islington,Dalston Kingsland,-299,-77,-396
Haggerston,Highbury & Islington,-298,-380,-593
Pontoon Dock,Bank and Monument,-298,-483,-565
Canary Wharf,Westminster,-298,-396,-429
Barking,Blackhorse Road,-298,-315,-331
South Kensington,Mansion House,-298,-316,-326
Loughton,Stratford,-296,-270,-368
Aldgate,King's Cross St. Pancras,-296,-325,-351
Vauxhall,Highbury & Islington,-295,-400,-481
Shepherd's Bush,Bond Street,-295,-267,-469
Stockwell,Victoria,-294,-5,-543
Pontoon Dock,Canning Town,-294,-249,-460
Elephant & Castle,Old Street,-294,-285,-416
Prince Regent,Canning Town,-294,-253,-413
Blackhorse Road,Finsbury Park,-294,-270,-385
Tooting Broadway,Moorgate,-293,-355,-450
Canary Wharf,Lewisham,-293,-295,-334
Canning Town,Gallions Reach,-293,-289,-320
King's Cross St. Pancras,Hammersmith,-292,-401,-449
Hainault,Stratford,-292,-248,-351
London Bridge,King's Cross St. Pancras,-290,-561,-827
Waterloo,Old Street,-289,-461,-977
Morden,Moorgate,-288,-335,-421
West Brompton,Clapham Junction,-288,-167,-314
Blackhorse Road,King's Cross St. Pancras,-288,-282,-227
Victoria,Brixton,-287,-327,-435
West Brompton,Wimbledon,-287,-281,-303
Gidea Park,Stratford,-286,-484,-1280
Rotherhithe,Shoreditch High Street,-286,-324,-344
Moorgate,Aldgate,-285,-298,-353
Tottenham Hale,Warren Street,-284,-316,-400
Farringdon,Aldgate,-284,-289,-340
Bank and Monument,East India,-284,-310,-314
Stratford,Bond Street,-283,-443,-804
King's Cross St. Pancras,Pimlico,-283,-359,-381
Wimbledon,Paddington,-283,-228,-231
Shepherd's Bush,Tottenham Court Road,-282,-312,-429
Clapham Junction,Imperial Wharf,-282,996,1390
Notting Hill Gate,Bank and Monument,-281,-365,-425
Wimbledon,Hammersmith,-281,-180,-372
Canning Town,Canada Water,-280,-343,-679
Shepherd's Bush,Oxford Circus,-280,-242,-583
West Ham,Waterloo,-280,-329,-384
New Cross Gate,Canada Water,-280,23,984
Plaistow,Whitechapel,-278,-279,-344
London Bridge,Paddington,-277,-433,-504
Tower Hill,Sloane Square,-277,-304,-312
Elephant & Castle,Moorgate,-276,-329,-490
Turkey Street,Seven Sisters,-276,-292,-360
Whitechapel,Aldgate East,-276,514,6768
Waterloo,Marylebone,-275,-420,-490
Acton Town,Hammersmith,-275,-61,370
Finsbury Park,Pimlico,-274,-336,-371
Ealing Broadway,Chiswick Park,-273,-170,-340
Canning Town,Royal Victoria,-273,6,88
Bank and Monument,Oxford Circus,-272,-583,-852
South Wimbledon,Moorgate,-272,-304,-338
Highbury & Islington,Dalston Junction,-272,-115,-311
Whitechapel,Blackfriars,-271,-278,-395
Bond Street,Canary Wharf,-271,-282,-286
Peckham Rye,Canada Water,-269,-419,-700
Deptford Bridge,Heron Quays,-269,-351,-378
Euston Square,Moorgate,-269,-322,-359
Rotherhithe,Whitechapel,-268,-385,-427
London City Airport,Canning Town,-267,-310,-491
Shepherd's Bush,Holborn,-267,-307,-417
Wood Green,Highbury & Islington,-267,-131,-357
Epping,Stratford,-265,-245,-371
Ladbroke Grove,Hammersmith,-265,-148,-331
Acton Central,Richmond,-265,-211,-277
Forest Gate,Liverpool Street,-262,-583,-771
Maryland,Liverpool Street,-262,-364,-382
Blackfriars,Aldgate East,-261,-278,-319
Farringdon,Paddington,-261,-287,-310
West Ham,Stratford International,-261,-273,-298
Bank and Monument,Euston,-260,-434,-508
Vauxhall,Brixton,-260,-50,-405
Cannon Street,Tower Hill,-260,-287,-317
West Hampstead,Kilburn,-260,143,-172
Warren Street,Victoria,-259,-271,-301
Willesden Junction,Gunnersbury,-259,-226,-300
Gunnersbury,Richmond,-259,-110,912
Liverpool Street,Marble Arch,-258,-336,-360
Harold Wood,Liverpool Street,-257,-316,977
Bethnal Green,Stratford,-256,-293,-507
Paddington,Tower Hill,-256,-325,-371
Lancaster Gate,Chancery Lane,-256,-257,-303
Stoke Newington,Liverpool Street,-256,-297,102
Deptford Bridge,Greenwich,-256,-81,307
Wood Street,Walthamstow Central,-256,334,844
Dalston Junction,Canada Water,-255,-417,-512
Clapton,Walthamstow Central,-254,-214,-342
Leyton,Stratford,-252,1924,6453
Manor House,Holborn,-251,-232,-327
Hammersmith,Great Portland Street,-251,-279,-320
Harrow-on-the-Hill,Uxbridge,-251,-105,-289
Baker Street,London Bridge,-250,-310,-353
Belsize Park,Moorgate,-250,-274,-298
Stratford,Chadwell Heath,-250,-287,-291
Whitechapel,West Croydon,-250,-253,-259
Turnpike Lane,Holborn,-250,-224,318
Seven Kings,Liverpool Street,-249,-467,-762
Euston Square,Paddington,-248,-244,-340
Seven Sisters,White Hart Lane,-247,-205,-308
Notting Hill Gate,St. Paul's,-247,-269,-288
Whitechapel,Denmark Hill,-247,-256,-269
Fulham Broadway,Wimbledon,-247,-225,-266
Royal Albert,Canning Town,-247,-233,-224
Eastcote,Uxbridge,-247,20,465
Wimbledon,South Kensington,-247,-174,709
Northolt,Shepherd's Bush,-245,-221,-230
Edgware,Golders Green,-244,-195,-261
Westminster,Canary Wharf,-244,-251,-257
Woodford,Liverpool Street,-244,-229,-30
Paddington,Waterloo,-243,-323,-578
Finchley Road,Canary Wharf,-243,-261,-292
East Finchley,Kentish Town,-243,-188,-286
Holloway Road,Russell Square,-243,-240,-264
Marylebone,Piccadilly Circus,-242,-275,-326
Marylebone,Charing Cross,-242,-270,-286
Canary Wharf,Limehouse,-242,59,1872
Canada Water,Canning Town,-241,-347,-576
Hammersmith,Richmond,-241,-155,-300
Baker Street,Barbican,-241,-270,-293
Balham,Tooting Broadway,-240,158,-418
Ruislip,Uxbridge,-240,9,518
Brixton,Pimlico,-239,-166,-472
Bethnal Green,Oxford Circus,-239,-258,-382
Hammersmith,Farringdon,-239,-290,-378
Enfield Town,Liverpool Street,-239,-282,684
Stratford International,Stratford,-239,445,826
Bethnal Green,Holborn,-238,-236,-341
Morden,Balham,-238,-190,-315
Farringdon,Great Portland Street,-238,-253,-274
Hackney Central,Camden Road,-237,-224,-307
Sloane Square,Cannon Street,-237,-253,-257
Ilford,Liverpool Street,-236,-631,-1403
Oxford Circus,Victoria,-236,-234,-318
Clapham Junction,Clapham High Street,-236,196,431
King's Cross St. Pancras,Oxford Circus,-235,54,-1249
Harold Wood,Stratford,-235,-199,-984
Goodmayes,Liverpool Street,-235,-416,-415
Victoria,Tottenham Hale,-234,-277,-280
Liverpool Street,Romford,-234,-250,-250
Brixton,Highbury & Islington,-233,-353,-510
Blackhorse Road,Vauxhall,-233,-262,-305
Golders Green,Hampstead,-233,30,1090
Highbury & Islington,Pimlico,-232,-288,-317
Woolwich Arsenal,Stratford International,-232,-291,-314
Loughton,Liverpool Street,-232,-236,-179
East Ham,Barking,-232,723,1881
Stockwell,Green Park,-231,-221,-461
Finsbury Park,Tottenham Hale,-231,-287,-362
East Finchley,Moorgate,-231,-270,-330
Tower Hill,South Kensington,-231,-268,-280
Stratford,Bethnal Green,-231,-77,551
Putney Bridge,Wimbledon,-230,-153,-256
King's Cross St. Pancras,Baker Street,-227,-224,-697
Haggerston,Whitechapel,-227,-300,-453
London Bridge,Camden Town,-227,-303,-333
Earl's Court,Canary Wharf,-226,-266,-300
Tooting Broadway,Old Street,-226,-218,-135
Highbury & Islington,Camden Road,-226,342,1787
Canada Water,North Greenwich,-225,-179,-426
Rectory Road,Liverpool Street,-225,-258,-363
Rectory Road,Seven Sisters,-225,-210,-334
Earl's Court,Blackfriars,-225,-256,-283
Canada Water,Peckham Rye,-225,-228,-281
Harrow-on-the-Hill,Finchley Road,-225,-234,-257
Charing Cross,Tottenham Court Road,-224,-52,-419
West Brompton,Shepherd's Bush,-224,-180,-290
Wanstead,Stratford,-224,-82,386
Stratford,Seven Kings,-223,-271,-275
Gloucester Road,Mansion House,-223,-242,-248
Ealing Broadway,White City,-223,-15,-220
Wimbledon,High Street Kensington,-223,-209,-168
Custom House,Canning Town,-223,-153,-138
London Bridge,Westminster,-222,-457,-721
Tottenham Hale,Finsbury Park,-222,-162,-337
Southwark,Green Park,-222,-243,-328
Cyprus,Canning Town,-222,-236,-274
South Kensington,Canary Wharf,-221,-242,-267
Queen's Park,Oxford Circus,-220,-176,-350
Tottenham Hale,Euston,-220,-243,-338
Dalston Kingsland,Camden Road,-220,-187,-274
Finchley Central,Kentish Town,-220,-191,-260
Seven Sisters,Southbury,-220,-212,-240
Barking,Dagenham Heathway,-218,-178,-250
Paddington,London Bridge,-217,-369,-546
King's Cross St. Pancras,South Kensington,-217,-336,-428
Moorgate,Farringdon,-217,-175,-385
Old Street,Euston,-217,-242,-292
Heathrow Terminal 4,Paddington,-217,-221,-228
Stonebridge Park,Willesden Junction,-217,-139,59
Ealing Broadway,Shepherd's Bush,-217,-87,235
Queensway,Liverpool Street,-216,-256,-283
Aldgate,Great Portland Street,-216,-225,-228
West Hampstead,Westminster,-215,-282,-321
Canary Wharf,Langdon Park,-215,-113,-301
Stratford,Canonbury,-215,-253,-297
Epping,Liverpool Street,-215,-205,-111
Stratford,Bermondsey,-214,-292,-388
Seven Sisters,Enfield Town,-214,-217,-239
South Woodford,Liverpool Street,-214,-204,-126
Victoria,Marylebone,-213,-303,-361
Gallions Reach,Canning Town,-213,-243,-278
West Hampstead,Wembley Park,-213,-216,-275
Bermondsey,Waterloo,-212,-192,-325
